AONIA.ASIA.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
1099	0.885385880046
1464	0.848991043972
1829	0.812569464241
2194	0.775215042794
2561	0.737984292321
2926	0.701835625124
3290	0.666736981743
3655	0.633038878423
4388	0.569925932908
5481	0.488328455572
7308	0.386444403704
9135	0.323166396674
10961	0.280327836497

GA_CCSDF.ASIA.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
3	0.999728002761
370	0.970301700118
734	0.943314817075
1099	0.916749071081
1464	0.890438248616
1829	0.863750948869
2194	0.834970291236
2561	0.806937054371
2926	0.777747390633
3290	0.749769364664
3655	0.722472638749
4388	0.669817151141
5481	0.598579558137
7308	0.504115330378
9135	0.438853620074
10961	0.39138283024

SARON.ASIA.CHF|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.999962008443
6	0.99992401833
13	0.999838010043
20	0.999752074859
37	0.999543150742
65	0.999200208801
97	0.99896193474
126	0.998895987876
157	0.998798116218
188	0.998757635871
218	0.998857876278
251	0.99891279255
279	0.998986531907
310	0.99909088754
342	0.999056836996
371	0.999278130747
462	0.999488553644
552	0.999545123667
644	0.999469778353
736	0.999366757273
1101	0.996917222861
1469	0.994856354064
1833	0.991126108471
2197	0.986110303026
2562	0.980283372886
2928	0.973762841969
3293	0.967845159713
3660	0.96179777561
4389	0.946057186331
5484	0.924868730076
7311	0.897566909195
9137	0.8808175462
10963	0.870567915105

GA_CCSDF.ASIA.CHF|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.999966726107
6	0.999933453322
97	0.998727369292
188	0.998202938497
279	0.998155394486
371	0.998293884391
736	0.997457502993
1101	0.994291667284
1469	0.991662372791
1833	0.987532106681
2197	0.982350438967
2562	0.976536646735
2928	0.97030590457
3293	0.964650496265
3660	0.959757444036
4389	0.945996394326
5484	0.928773416196
7311	0.912110520236
9137	0.899719057856
10963	0.893595986646

GA_CCSDF.ASIA.CNH|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999865354798
3	0.999808753681
184	0.981499071503
282	0.973207117691
370	0.966139422635
549	0.951370026247
734	0.935838935636
1099	0.905703751831
1464	0.876449187309
1829	0.8481144
2561	0.793592603708
3655	0.717815487684

GA_CCSDF.ASIA.EUR|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999837987363
3	0.999756987608
93	0.992523492423
184	0.98667332713
276	0.981306408236
370	0.976171961575
462	0.971179675147
734	0.955967045138
1098	0.934591470365
1464	0.912005246679
1829	0.889527716837
2194	0.867104047847
2561	0.844341564392
2925	0.821813545141
3290	0.799474511016
3655	0.777304801989
4388	0.733932276147
5481	0.673547538479
7308	0.592343164959
9134	0.527550596193
10961	0.472970914426
14615	0.373451031049
18265	0.303936238487

SONIA.ASIA.GBP|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99974253206
7	0.999099116433
14	0.998199013787
31	0.996015875101
59	0.992528649496
90	0.988720235309
120	0.985062458897
150	0.981481857442
181	0.977830163697
212	0.974215210608
241	0.970902842473
273	0.967294993819
304	0.963831877655
332	0.960753559289
365	0.957159273792
546	0.93804389033
730	0.919371118629
1095	0.884206945964
1459	0.851055581092
1826	0.818921685684
2191	0.787941087602
2556	0.757533290264
2922	0.727526550511
3286	0.698085569147
3650	0.669116221345
4383	0.612569951733
5477	0.535320710737
7304	0.428546009941
9131	0.347028783377
10957	0.285795252354
14610	0.202854345278
18262	0.15415963092

GA_CCSDF.ASIA.GBP|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999715281088
3	0.999572941901
93	0.98760512169
184	0.976001177128
276	0.964746861315
370	0.953716274751
462	0.943313129334
734	0.913649817353
1099	0.876451167274
1464	0.841644278349
1829	0.808379843207
2194	0.776269540787
2561	0.744744324247
2926	0.714026270322
3290	0.683905267544
3655	0.654345650312
4388	0.59771120196
5481	0.522111744574
7308	0.420611226613
9135	0.344087399405
10961	0.287296814766
14615	0.211109994549
18265	0.164113944153

HIBOR3M.ASIA.HKD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
90	0.989337524604
181	0.979737971434
273	0.970249200079
365	0.961676183158
546	0.944344743416
730	0.927223868573
1095	0.894739831718
1459	0.864383289837
1826	0.833897373299
2556	0.774671511307
3650	0.692317875583
4383	0.640548369332
5477	0.57002385713

GA_CCSDF.ASIA.HKD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999690708841
3	0.999536087181
184	0.978908358709
276	0.969249076677
370	0.960466700974
549	0.943051882919
734	0.925567073443
1098	0.893490693456
1464	0.86451085356
1829	0.835635177828
2561	0.779183030105
3655	0.700465939189
4388	0.649571982782
5481	0.580094171519

TONAR.ASIA.JPY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
6	0.999962686324
7	0.999956467417
14	0.999912841082
21	0.999869218555
28	0.999825599833
38	0.999736764991
66	0.999479866127
97	0.999161928376
127	0.99881125506
160	0.998402754418
188	0.998013963116
219	0.997544732214
251	0.997015544715
280	0.996527865516
311	0.99598507924
342	0.995411323861
372	0.994820705524
462	0.993062133435
553	0.991206979872
737	0.987172610528
1102	0.978786888951
1470	0.970070640101
1833	0.960801579879
2198	0.950639278059
2563	0.939321591227
2929	0.927059908204
3297	0.913606099412
3661	0.899040502306
4024	0.883491630431
4390	0.867137086611
5488	0.812909467562
7315	0.716888813974
9138	0.631513894318
10964	0.557985530908
12790	0.49270535803
14617	0.437103024961

GA_CCSDF.ASIA.JPY|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
6	0.999966220319
7	0.999960590404
97	0.999166730049
188	0.998133199288
280	0.996807422073
372	0.995669964988
553	0.992629509341
737	0.989593662534
1102	0.983469769366
1470	0.977363288225
1833	0.970988918562
2198	0.963621334177
2563	0.955061699331
2929	0.945314253043
3297	0.934525423387
3661	0.921917825035
4024	0.907567664076
4390	0.893794383391
5488	0.843545333817
7315	0.750515850872
9138	0.662657749936
10964	0.581489979638
12790	0.503980277436
14617	0.440701152668

NOWA.ASIA.NOK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999753485442
3	0.999630243357
34	0.995826391165
62	0.992419432519
93	0.988702373358
184	0.978367962137
276	0.968482261792
370	0.95891806339
734	0.924287437645
1098	0.891729908829
1464	0.860124621221
1829	0.830336510755
2194	0.801546777009
2561	0.773753430806
2925	0.746491714331
3290	0.720538742274
3655	0.695441799342
4388	0.649414136822
5481	0.59169345712
7308	0.513978558954
9134	0.453521409193
10961	0.405866033437

NIBOR6M.ASIA.NOK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999837806866
3	0.999715341737
184	0.976684841865
370	0.954881016467
734	0.916878484277
1098	0.881214416553
1464	0.84692435552
1829	0.814416575786
2194	0.783054747571
2561	0.752616891375
2925	0.723455870871
3290	0.695145045063
3655	0.667880007619
4388	0.617804135783
5481	0.554169732894
7308	0.469250797477
9134	0.4054155715
10961	0.357063991227

NIBOR3M.ASIA.NOK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999837806866
3	0.999715341737
93	0.988105106733
169	0.979067092047
260	0.968697055526
351	0.958856524098
442	0.949389136513
533	0.94016817597
624	0.931106697319
734	0.91874664661
1098	0.883903782858
1464	0.85039235624
1829	0.818598523385
2194	0.787942567184
2561	0.758287780991
2925	0.729941979828
3290	0.702442900034
3655	0.67605744739
4388	0.628007455136
5481	0.567256305491
7308	0.486369891419
9134	0.424567951631
10961	0.379951255419

GA_CCSDF.ASIA.NOK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999837806866
3	0.999715341737
370	0.956707213095
734	0.918146119625
1098	0.88263220579
1464	0.848318704179
1829	0.815785904164
2194	0.78458121314
2561	0.754528176609
2925	0.725990396827
3290	0.69836054587
3655	0.671900453577
4388	0.623376328675
5481	0.565006522896
7308	0.489783978935
10961	0.394461963635

GA_CCSDF.ASIA.NZD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.99965080691
6	0.999301735756
97	0.98894529958
188	0.980331980879
279	0.972203155461
371	0.964212911966
736	0.933299398942
1101	0.900745914764
1469	0.866333639752
1833	0.83128731437
2197	0.79432804082
2562	0.75748834315
2928	0.721049967991
3293	0.689027475622
3660	0.652564341467
4389	0.590258460969
5484	0.505656184597
7311	0.3878832446

STIBOR1D.ASIA.SEK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999846912328
3	0.999770374352
34	0.997588426776
62	0.995889930732
93	0.993759619295
184	0.988184134966
276	0.982704885101
370	0.977235486897
549	0.967232979338
734	0.955327018835
1098	0.932873137652
1464	0.910281249975
1829	0.886910224792
2194	0.863279660424
2561	0.838744370526
2925	0.816029609817
3290	0.792686494619
3655	0.768310471735
4388	0.724319080733
5481	0.66151739353
7308	0.585326935215
10961	0.476539937438

STIBOR3M.ASIA.SEK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999846912328
3	0.999770374352
93	0.993422405183
169	0.988629848529
260	0.983001753904
351	0.977491687567
370	0.976136543901
734	0.953389171882
1098	0.929943538564
1464	0.90610417921
1829	0.881770003214
2194	0.857217003781
2561	0.832577801807
2925	0.808673841867
3290	0.784607975256
3655	0.760845436689
4388	0.715379815464
5481	0.653822573495
7308	0.573553157223
10961	0.460947777683

GA_CCSDF.ASIA.SEK|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999846912328
3	0.999770374352
370	0.97544513509
734	0.951591639501
1098	0.926963274718
1464	0.901764076739
1829	0.875802743178
2194	0.849584901261
2561	0.822996449168
2925	0.796470299736
3290	0.770353560828
3655	0.744252656697
4388	0.695067390814
5481	0.627403403538
7308	0.53972954896
9134	0.477006081139
10961	0.421067574469

GA_CCSDF.ASIA.SGD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999873358506
3	0.999810041769
184	0.985257332038
370	0.972150678144
549	0.959588113719
734	0.947112580822
1098	0.924229992787
1464	0.899658334981
1829	0.877823778779
2194	0.853758131075
2561	0.833120353912
3655	0.771594466129
4388	0.735100398302
5481	0.687323395242
7308	0.645212930835
10961	0.529700458101

GA_FD.USD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999756923545
3	0.999635400091
10	0.998787506349
34	0.995830042219
62	0.992312928936
93	0.988359185435
184	0.977454271246
276	0.966844786433
370	0.95626964341
458	0.946555610326
549	0.936614392763
734	0.916942482908
1098	0.878948209927
1464	0.842387204912
1829	0.807234427229
2194	0.77319832957
2561	0.74031342832
2925	0.708934784563
3290	0.678655986797
3655	0.649442896002
4388	0.593653068384
5481	0.519009507831
7308	0.419358363937
9134	0.347392378463
10961	0.293687116458
14615	0.222206958737
18265	0.179501175707

GA_CCSDF.AUD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.99976224832
3	0.999643386613
93	0.988495386499
184	0.978183057117
276	0.968078912091
370	0.958173712594
734	0.920901878682
1099	0.884089445844
1464	0.849124056902
1829	0.81262771338
2194	0.775305274987
2561	0.738102589431
2926	0.701971992376
3290	0.666772216161
3655	0.633072687802
4388	0.56995695202
5481	0.488355592312
7308	0.386466340565
9135	0.3233416412
10961	0.280491436374

GA_CCSDF.CAD|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
2	0.999818663026
3	0.999728002761
370	0.97039980412
734	0.943907557805
1099	0.917660539086
1464	0.891392166237
1829	0.864595508089
2194	0.836343903428
2561	0.807642807093
2926	0.779069067354
3290	0.750952351616
3655	0.723655284409
4388	0.670688055736
5481	0.599829689002
7308	0.504476388905
9135	0.440160649729
10961	0.393970707365

SARON.CHF|20241231|ZeroCurve
DayOffset	DiscFactor
0	1
3	0.999962008443
6	0.99992401833
13	0.999839691573
20	0.999755281855
37	0.99955063619
65	0.999213463758
97	0.998946041831
126	0.99873884823
157	0.998541869959
188	0.998436979574
218	0.998457007637
251	0.998408115874
